C,Emotional engagement,get the system to engage with user's emotions,,,,,
C,Expert choice,endorcements by experts,,,,,
C,Framing,present choices to make them all attractive,,array limits in Pascal/Ada?,,,
C,Habits,allow new behaviour to become habitual,,,,,
C,Personality,give the system a personality,,,,,
C,Provoke empathy,show other users' perspectives,,(twitter feed),,,
C,Reciprocation,make user feel there's a favour to be repaid,,,,,
C,Rephrasing & renaming,"rename buttons, labels, etc",,,,,
C,Scarcity,emphasize that the resource is valuable/limited,,,,,
C,Social proof,show that other users do the same,,,,,
M,Anchoring,affect expectations by controlling reference points,,"""this is FP""",,,
M,Antifeatures & crippleware,disable feature to force people to upgrade,,,,,
M,Bundling,include what you want to do with smth user wants,,,,,
M,Degrading performance,degrade performance until demands are met,,,,,
M,First one free,free giveaway lures people in to pay for more,,,,,
M,Forced dichotomy,"no middle option, forces users to make a choice",,,,,
M,Format lock-in/out,only particular format is supported,,C#? .NET!,,,
M,Functional obsolescence,make old system wear out to force upgrades,,,,,
M,"I cut, you choose",eliminate first-mover advantage,,,,,
M,Poison pill,add unpleasant side-effects,,XML Booster?,,,
M,Serving suggestion,direct the use through demonstration,,,,,
M,Slow / no response,encourage alternatives by making options slow,,,,,
M,Style obsolescence,design things to go out of fashion quickly,,,,,
M,Worry resolution,suggest a worry about behaviour and remove it,,,,,
S,Coercive atmospherics,ambient sensory effects affect behavr,,,,,
S,Peerveillance,what you do is visible to peers,Code review,commits are reviewed,,,
S,Sousveillance,what you do is visible to inferiors,,,,,
S,Surveillance,what you do is visible to superiors,,,,,
S,Threat of injury,(spikes on walls),,,,,
S,Threat to property,(severe tire damage),,,,,
S,What you can do,show skills to unlock features,,(gamification),,,
S,What you have,tokens & access cards unlock features,,It is a syntax error to write FORTRAN while not wearing a blue tie.,,,
S,What you know,"password, info",Passwords?,,,,
S,What you’ve done,change depending on prev.behaviour,,,,,
S,Where you are,enable features by location,,,,,
S,Who or what you are,vary features per person/group/object,,(gamified language learning),,,
,,,Keywords,,11,,
,,,Variables,named storage fragments,52,,
,,,Types & scopes,,55,,
,,,Type definitions,"composite types, ADTs",60,,
,,,Parametrised types,"array of …, stack of …",180,,
,,,Composite types,"arrays, lists, sets",156,,
,,,Records,"structs, dictionaries, hashmaps, tables",169,,
,,,Picture clause,,,,
,,,Numeric data types,integers and floats,63,,
,,,Logical types,booleans,66,,
,,,Character types,chars and strings,67,,
,,,Pointers,references,69,,
,,,Operator precedence,,79,,
,,,Assignment,":=, =, +=, overlay, map, boxing, SAC",82,,
,,,Blocks,compound statements,85,,
,,,Branching,"if, jmp, cond, switch/case, goto",86,,
,,,Iteration,"while, for, foreach, LINQ",89,,
,,,Exception handling,"raise, throw, catch, try",95,,
,,,Procedures,"methods, procs, functions, coroutines",106,,
,,,Classes,+traits?,107,,
,,,Redefines,"overloading, shadowing, info hiding",138,,
,,,First class,"FP etc, higher order functions",151,,
,,,Input/output,"files, monads, read/write",187,,
,,,Inheritance,"base and derived classes, multiple",194,,
,,,Substitution,"casting, subtyping, polymorphism",197,,
,,,Lazy evaluation,"weak (ifs), strong (haskell)",239,,
,,,Unification,"prolog, Rascal templates",248,,
,,,Event loop,form of UI-biased concurrency,265,,
